Tên bệnh,Nguyên nhân,Triệu chứng,Điều trị,Phòng ngừa
COVID-19,"Căn bệnh này lần đầu tiên được xác định bởi các cơ quan y tế tại thành phố Vũ Hán, thủ phủ của tỉnh Hồ Bắc, Trung Quốc, trong số những bệnh nhân bị viêm phổi không rõ nguyên nhân.[20] Nó đã gây ra sự báo động do không có bất kỳ loại vắc-xin hiệu quả cũng như bất kỳ liệu pháp điều trị bằng thuốc chống virus nào và sự lây lan tương đối nhanh chóng của nó trên toàn cầu, từ lần phát hiện đầu tiên vào đầu tháng 1 năm 2020.[21][22] Các tỷ lệ tử vong ca bệnh được ước tính vào khoảng 1-3%.[23][24]","Phương thức lây truyền chủ yếu của nó hiện nay là lây truyền từ người sang người, thường được truyền thông qua các giọt dịch hô hấp mà con người hắt hơi, ho hoặc thở ra.[11] Một người nhiễm bệnh có thể xuất hiện các triệu chứng sau thời gian ủ bệnh kéo dài từ 2 đến 14 ngày, trung bình là 5 ngày, trong thời gian đó nó vẫn có thể truyền nhiễm.[12][13] Cần thận trọng để giúp hạn chế lây truyền bệnh, bao gồm vệ sinh cá nhân tốt và rửa tay thường xuyên.[14] Những người nghĩ rằng họ đã bị nhiễm bệnh nên đeo khẩu trang y tế và liên hệ bác sĩ ngay lập tức để được tư vấn.[15][16]","Virus chủ yếu ảnh hưởng đến đường hô hấp dưới (cũng có các triệu chứng ở đường hô hấp trên nhưng ít gặp hơn) và dẫn đến một loạt các triệu chứng được mô tả giống như cúm,[11][16] bao gồm sốt, ho, khó thở, đau cơ và mệt mỏi,[17][18][19] với sự phát triển cao hơn nữa sẽ dẫn đến viêm phổi, hội chứng suy hô hấp cấp tính, nhiễm trùng huyết, sốc nhiễm trùng và có thể gây tử vong. Các phản ứng y tế đối với căn bệnh này thường là cố gắng kiểm soát các triệu chứng lâm sàng vì hiện tại[khi nào?] chưa tìm thấy phương pháp điều trị hiệu quả nào.","Thời gian ủ bệnh được Tổ chức Y tế Thế giới ước tính từ 2 đến 10 ngày, hoặc từ 2 đến 14 ngày bởi Trung tâm Kiểm soát và Phòng ngừa Dịch bệnh Hoa Kỳ (CDC).[42] Một nghiên cứu được công bố vào tháng 2 bởi một số nhà nghiên cứu ở Trung Quốc, bao gồm cả bác sĩ khám phá ra SARS, đã tìm thấy bằng chứng về thời gian ủ bệnh kéo dài đến 24 ngày.[18]"
Bệnh tiểu đường,Không tìm thấy,Không tìm thấy,Không tìm thấy,Không tìm thấy
Cúm,Không tìm thấy,Không tìm thấy,Không tìm thấy,Không tìm thấy
Viêm phổi,Không tìm thấy,Không tìm thấy,Không tìm thấy,Không tìm thấy
Rheumatoid_arthritis,"While the cause of rheumatoid arthritis is not clear, it is believed to involve a combination of genetic and environmental factors.[1] The underlying mechanism involves the body's immune system attacking the joints.[1] This results in inflammation and thickening of the joint capsule.[1] It also affects the underlying bone and cartilage.[1] The diagnosis is made mostly on the basis of a person's signs and symptoms.[2] X-rays and laboratory testing may support a diagnosis or exclude other diseases with similar symptoms.[1] Other diseases that may present similarly include systemic lupus erythematosus, psoriatic arthritis, and fibromyalgia among others.[2]","Rheumatoid arthritis (RA) is a long-term autoimmune disorder that primarily affects joints.[1] It typically results in warm, swollen, and painful joints.[1] Pain and stiffness often worsen following rest.[1] Most commonly, the wrist and hands are involved, with the same joints typically involved on both sides of the body.[1] The disease may also affect other parts of the body, including skin, eyes, lungs, heart, nerves, and blood.[1] This may result in a low red blood cell count, inflammation around the lungs, and inflammation around the heart.[1] Fever and low energy may also be present.[1] Often, symptoms come on gradually over weeks to months.[2]","The goals of treatment are to reduce pain, decrease inflammation, and improve a person's overall functioning.[5] This may be helped by balancing rest and exercise, the use of splints and braces, or the use of assistive devices.[1][6][7] Pain medications, steroids, and NSAIDs are frequently used to help with symptoms.[1] Disease-modifying antirheumatic drugs (DMARDs), such as hydroxychloroquine and methotrexate, may be used to try to slow the progression of disease.[1] Biological DMARDs may be used when the disease does not respond to other treatments.[8] However, they may have a greater rate of adverse effects.[9] Surgery to repair, replace, or fuse joints may help in certain situations.[1]","^ Grohskopf LA, Olsen SJ, Sokolow LZ, et al. (August 2014). ""Prevention and control of seasonal influenza with vaccines: recommendations of the Advisory Committee on Immunization Practices (ACIP) -- United States, 2014-15 influenza season"". MMWR. Morbidity and Mortality Weekly Report. 63 (32): 691–697. PMC 4584910. PMID 25121712."
Bệnh tim mạch,"Bệnh tim mạch là nguyên nhân hàng đầu gây tử vong trên toàn cầu.[2] Điều này đúng ở tất cả các khu vực trên thế giới ngoại trừ Châu Phi.[2] Các bệnh tim mạch dẫn đến 17,9 triệu người chết (32,1%) trong năm 2015, tăng từ 12,3 triệu (25,8%) vào năm 1990.[3] Tử vong, ở một độ tuổi nhất định, do bệnh tim mạch là phổ biến hơn và đang gia tăng ở hầu hết các nước đang phát triển, trong khi tỷ lệ đã giảm ở hầu hết các nước phát triển kể từ những năm 1970.[10][11] Bệnh động mạch vành và đột quỵ chiếm 80% tử vong do bệnh tim mạch ở nam và 75% tử vong bệnh tim mạch ở nữ.[2] Hầu hết các bệnh tim mạch ảnh hưởng đến người lớn tuổi. Ở Hoa Kỳ, 11% người từ 20 đến 40 tuổi có bệnh tim mạch, trong khi 37% từ 40 đến 60, 71% người từ 60 đến 80 và 85% người trên 80 tuổi có bệnh tim mạch.[1] Độ tuổi trung bình của tử vong do bệnh động mạch vành ở các nước phát triển là khoảng 80 trong khi đó là khoảng 68 ở các nước đang phát triển.[10] Chẩn đoán bệnh thường xảy ra sớm hơn 7-10 năm ở nam giới so với phụ nữ.[12]","Tầm soát ECG (khi nghỉ ngơi hoặc tập thể dục) không được khuyến cáo ở những người không có triệu chứng có nguy cơ thấp.[67] Điều này bao gồm những người trẻ tuổi mà không có yếu tố rủi ro.[68] Ở những người có nguy cơ cao hơn, bằng chứng tầm soát bằng ECG là không thuyết phục.[69] Ngoài ra siêu âm tim, hình ảnh tưới máu cơ tim và xét nghiệm căng thẳng tim không được khuyến cáo ở những người có nguy cơ thấp không có triệu chứng.[70] Một số dấu ấn sinh học có thể thêm vào các yếu tố nguy cơ tim mạch thông thường trong việc dự đoán nguy cơ mắc bệnh tim mạch trong tương lai; tuy nhiên, giá trị của một số dấu ấn sinh học là nghi vấn.[71][72] Chỉ số mắt cá chân (ABI), protein phản ứng C nhạy cảm cao (hsCRP) và calci động mạch vành cũng có lợi ích không rõ ràng ở những người không có triệu chứng vào năm 2018.[73]","Các cơ chế cơ bản khác nhau tùy thuộc vào bệnh.[2] Bệnh động mạch vành, đột quỵ và bệnh động mạch ngoại biên liên quan đến xơ vữa động mạch.[2] Điều này có thể được gây ra bởi huyết áp cao, hút thuốc, đái tháo đường, thiếu tập thể dục, béo phì, cholesterol trong máu cao, chế độ ăn uống kém và uống quá nhiều rượu, v.v...[2] Huyết áp cao được ước tính chiếm khoảng 13% tử vong do bệnh tim mạch, trong khi thuốc lá chiếm 9%, tiểu đường 6%, thiếu tập thể dục 6% và béo phì 5%.[2] Bệnh thấp tim có thể là kết quả của việc viêm họng liên cầu khuẩn không được điều trị.[2]","Người ta ước tính rằng có thể ngăn chặn tới 90% bệnh tim mạch.[5][6] Phòng ngừa bệnh tim mạch liên quan đến việc cải thiện các yếu tố rủi ro thông qua: ăn uống lành mạnh, tập thể dục, tránh khói thuốc lá và hạn chế uống rượu.[2] Điều trị các yếu tố nguy cơ, chẳng hạn như huyết áp cao, lipid máu và tiểu đường cũng có lợi.[2] Điều trị cho những người bị viêm họng liên cầu khuẩn bằng kháng sinh có thể làm giảm nguy cơ mắc bệnh thấp khớp.[7] Việc sử dụng aspirin ở những người khỏe mạnh không có lợi ích rõ ràng.[8][9]"
Huyết áp cao,Không tìm thấy,Không tìm thấy,Không tìm thấy,Không tìm thấy
Hen suyễn,"Nguyên nhân hen chưa rõ nhưng có thể là một bệnh lý di truyền với ảnh hưởng bởi các yếu tố môi trường. Hen có mối liên kết chặt chẽ với dị ứng. Các dị ứng nguyên thường gặp trong nhà là bụi, gián, lông, vật nuôi, nấm và ngoài ra còn có các dị ứng nguyên ngoài nhà cũng như khói thuốc lá. Ở nữ, các triệu chứng của hen thay đổi trong chu kì kinh nguyệt và khi có thai gợi ý sự ảnh hưởng của các hormone trong bệnh sinh của hen. Hen cũng có thể xảy ra ở nơi làm việc của những người chưa có tiền căn hen (gọi là hen nghề nghiệp). Một số chất như isocyanate (dùng trong sơn xịt) là yếu tố thúc đẩy hen. Các bệnh nhân béo phì cũng thường bị hen với cơ chế chưa rõ. Một số tác nhân nhiễm trùng và một số bệnh lý như GERD có thể gây đợt hen cấp.","Hen phế quản còn gọi là hen suyễn hay bệnh suyễn (Asthma) là một bệnh lý viêm mạn tính của phế quản thuộc hệ hô hấp trong đó có sự tham gia của nhiều tế bào và thành phần tế bào. Biểu hiện là phản ứng tắc nghẽn phế quản gây hẹp đường hô hấp có hồi phục do được kích thích bởi sự tiếp xúc với các tác nhân gây dị ứng, không khí lạnh, tập thể thao, hay các kích thích về cảm xúc. Hen có 2 đặc tính then chốt: bệnh sử các triệu chứng hô hấp (ho, khò khè, khó thở, nặng ngực) biến đổi theo thời gian và độ nặng, và sự giới hạn dòng khí thở ra có thể thay đổi[1]. Triệu chứng bệnh bao gồm những cơn rít, thở nhanh, ngực bị co ép và ho đặc biệt xảy ra vào ban đêm hay sáng sớm, đây là những dấu hiệu của suyễn. Giữa các cơn thì người bệnh cảm thấy bình thường.","Cần xác định các kích thích dị ứng như là thú nuôi hay thuốc aspirin nhằm hạn chế sự tiếp xúc với chúng. Việc làm bớt sự nhạy cảm đã không tỏ ra có hiệu quả. Đối với các bệnh về hệ hô hấp, hút thuốc lá có ảnh hưởng nhất định đến hen suyễn, gồm gia tăng tính nghiêm trọng của triệu chứng, suy giảm chức năng phổi, làm phản ứng với các thuốc điều trị.[10] Người bị suyễn có hút thuốc là cần nhiều thuốc hơn, để có thể ngăn bệnh tiến triển. Mặt khác sự tiếp xúc của cả người không hút thuốc và người thụ động hút thuốc cũng phần nào tăng tính nghiêm trọng của bệnh. 
[11] Ngừng hút hay tránh người hút được khuyến khích với người bệnh suyễn.","^ Global Initiative for Asthma. Global Strategy for Asthma Management and Prevention, 2018. Available from: www.ginasthma.org"
Lao phổi,Không tìm thấy,Không tìm thấy,Không tìm thấy,Không tìm thấy
Viêm gan B,"Nhiễm virus viêm gan B mạn tính có thể không có triệu chứng hoặc liên hệ với viêm gan mạn tính, dẫn tới xơ gan sau nhiều năm. Dạng bệnh này nguy hiểm bởi nó làm tăng tỷ lệ ung thư biểu mô tế bào gan (ung thư gan) lên nhiều. Ở châu Âu, viêm gan B và C là nguyên nhân của 50% trường hợp ung thư biểu mô tế bào gan.[15][16] Người bệnh mạn tính được khuyến cáo tránh đồ uống có cồn, thứ càng làm tăng nguy cơ xơ gan và ung thư gan. Nhiễm HBV mạn tính có liên hệ với viêm tiểu cầu thận màng.[17]","Viêm gan B là bệnh truyền nhiễm ảnh hưởng đến gan do virus viêm gan B (HBV) gây ra.[1][5] Đây là một dạng viêm gan do virus[6] có thể gây tình trạng nhiễm virus cấp tính hoặc mạn tính.[1] Nhiều người không thấy triệu chứng vào thời gian đầu.[1] Trong nhiễm cấp tính, dấu hiệu bệnh tật có thể nhanh chóng xuất hiện gồm nôn mửa, vàng da, mệt mỏi, nước tiểu đậm, đau bụng.[1] Thường những triệu chứng này kéo dài vài tuần và nhiễm virus ban đầu hiếm khi gây tử vong.[1][7] Triệu chứng nhìn chung khởi phát 30 đến 180 ngày sau nhiễm.[1] 90% người bị nhiễm virus vào khoảng lúc sinh mắc bệnh mạn tính, trong khi tỷ lệ này với người bị nhiễm sau năm tuổi là chưa đến 10%.[3] Hầu hết trường hợp mạn tính không có biểu hiện gì nhưng xơ gan và ung thư gan là nguy cơ về sau.[2] Xơ gan và ung thư gan xảy ra ở khoảng 25% ca bệnh mạn tính.[1]","Các xét nghiệm PCR đã được phát triển để phát hiện và đo lượng DNA HBV, gọi là tải lượng virus, trong các mẫu lâm sàng. Chúng được áp dụng để đánh giá tình trạng nhiễm virus và theo dõi điều trị.[57] Can bào kính mờ ở sinh thiết trông thấy qua kính hiển vi là đặc trưng của người có tải lượng virus cao.","Căn bệnh phòng ngừa được bằng vắc-xin từ năm 1982.[1][10] Tổ chức Y tế Thế giới khuyến cáo nếu có thể thì nên chủng ngừa trong vòng 24 giờ sau sinh.[1] Về sau cần thêm hai hay ba liều để đạt hiệu quả đầy đủ.[1] Văc-xin có tác dụng 95%[1] và nằm trong các chương trình quốc gia của khoảng 180 nước trên thế giới tính đến năm 2006.[11] Những khuyến cáo khác là luôn xét nghiệm máu sàng lọc viêm gan B trước khi truyền máu và sử dụng bao cao su trong quan hệ tình dục.[1] Đối với nhiễm virus ban đầu, xử lý thế nào còn tùy vào triệu chứng.[1] Các thuốc kháng virus như tenofovir hay interferon tốt cho người bệnh mạn tính nhưng đắt đỏ.[1] Ghép gan đôi khi được áp dụng để chữa xơ gan.[1]"
Trầm cảm,"Rối loạn trầm cảm (MDD, Major Depressive Disorder) hay trầm cảm là một chứng rối loạn tâm thần phổ biến. Các triệu chứng của căn bệnh bao gồm: tâm trạng buồn bã kéo dài ít nhất hai tuần liên tiếp, lòng tự trọng thấp,  mất hứng thú với các hoạt động bệnh nhân từng cảm thấy thú vị, hay các hoạt động bình thường cũng dần trở nên khó khăn với bệnh nhân, cảm thấy uể oải thiếu năng lượng, đau nhưng không rõ nguyên nhân.[3] Có thể thỉnh thoảng những người mắc bệnh trầm cảm còn ảo tưởng hoặc gặp ảo giác.[3] Các triệu chứng của căn bệnh có thể cách vài năm mới gặp, hoặc gần như luôn xuất hiện.[4] Trầm cảm nặng thì nỗi buồn sẽ kéo dài hơn, và những việc vốn là một phần bình thường của cuộc sống bỗng trở nên khó khăn hơn. Ngoài ra khi mắc bệnh, cảm xúc của bệnh nhân sẽ trở nên bất thường.[4][5]","Rối loạn trầm cảm (MDD, Major Depressive Disorder) hay trầm cảm là một chứng rối loạn tâm thần phổ biến. Các triệu chứng của căn bệnh bao gồm: tâm trạng buồn bã kéo dài ít nhất hai tuần liên tiếp, lòng tự trọng thấp,  mất hứng thú với các hoạt động bệnh nhân từng cảm thấy thú vị, hay các hoạt động bình thường cũng dần trở nên khó khăn với bệnh nhân, cảm thấy uể oải thiếu năng lượng, đau nhưng không rõ nguyên nhân.[3] Có thể thỉnh thoảng những người mắc bệnh trầm cảm còn ảo tưởng hoặc gặp ảo giác.[3] Các triệu chứng của căn bệnh có thể cách vài năm mới gặp, hoặc gần như luôn xuất hiện.[4] Trầm cảm nặng thì nỗi buồn sẽ kéo dài hơn, và những việc vốn là một phần bình thường của cuộc sống bỗng trở nên khó khăn hơn. Ngoài ra khi mắc bệnh, cảm xúc của bệnh nhân sẽ trở nên bất thường.[4][5]","Việc chẩn đoán rối loạn trầm cảm chủ yếu dựa trên trải nghiệm mà bệnh nhân gặp qua vì vậy sẽ kiểm tra tình trạng tâm thần.[6] Không có xét nghiệm trong phòng thí nghiệm,[4] nhưng có thể thực hiện kiểm tra để loại trừ các tình trạng thể chất có thể gây ra các triệu chứng tương tự.[6] Những người bị rối loạn trầm cảm nặng thường được điều trị bằng tư vấn và dùng thuốc chống trầm cảm.[3] Những loại thuốc này khá hiệu quả, nhưng không có quá nhiều ảnh hưởng đối với người mắc bệnh nặng hơn.[7][8] Các hình thức tư vấn được sử dụng bao gồm liệu pháp hành vi nhận thức (CBT) và liệu pháp giao tiếp giữa các cá nhân,[3][9] và liệu pháp điện giật (ECT) có thể được xem xét nếu các biện pháp khác không hiệu quả.[3] Có thể cần nhập viện trong những trường hợp có nguy cơ gây hại cho bản thân và đôi khi có thể xảy ra trái với mong muốn của một người.[10]",Các nỗ lực phòng ngừa có thể làm giảm tỷ lệ của trầm cảm xuống từ 22 đến 38%.[120] Ăn một lượng lớn cá cũng có thể làm giảm nguy cơ.[121]
Anxiety_disorder,"Anxiety disorders are a group of mental disorders characterized by significant and uncontrollable feelings of anxiety and fear such that a person's social, occupational, and personal functions are significantly impaired.[2] Anxiety may cause physical and cognitive symptoms, such as restlessness, irritability, easy fatigue, difficulty concentrating, increased heart rate, chest pain, abdominal pain, and a variety of other symptoms that may vary based on the individual.[2]","Anxiety disorders are a group of mental disorders characterized by significant and uncontrollable feelings of anxiety and fear such that a person's social, occupational, and personal functions are significantly impaired.[2] Anxiety may cause physical and cognitive symptoms, such as restlessness, irritability, easy fatigue, difficulty concentrating, increased heart rate, chest pain, abdominal pain, and a variety of other symptoms that may vary based on the individual.[2]","Worldwide, anxiety disorders are the second most common type of mental disorders after depressive disorders.[10] Anxiety disorders affect nearly 30% of adults at some point in their lives, with an estimated 4% of the global population currently experiencing an anxiety disorder. However, anxiety disorders are treatable, and a number of effective treatments are available.[11] Most people are able to lead normal, productive lives with some form of treatment.[12]","Agoraphobia is a specific anxiety disorder wherein an individual is afraid of being in a place or situation where escape is difficult or embarrassing or where help may be unavailable.[25] Agoraphobia is strongly linked with panic disorder and is often precipitated by the fear of having a panic attack. A common manifestation involves needing to be in constant view of a door or other escape route. In addition to the fears themselves, the term agoraphobia is often used to refer to avoidance behaviors that individuals often develop.[26] For example, following a panic attack while driving, someone with agoraphobia may develop anxiety over driving and will therefore avoid driving. These avoidance behaviors can have serious consequences and often reinforce the fear they are caused by. In a severe case of agoraphobia, the person may never leave their home."
Béo phì,Không tìm thấy,Không tìm thấy,Không tìm thấy,Không tìm thấy
Đột quỵ,Không tìm thấy,Không tìm thấy,Không tìm thấy,Không tìm thấy
Bệnh Alzheimer,Không tìm thấy,Không tìm thấy,Không tìm thấy,Không tìm thấy
